Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 2135,Artificial Intelligence & Machine Learning,India,Diyafah International School Abu Dhabi,Female,4,Online,8,Sports,Intermediate,App Development,5
student 2136,Technology Onsite - Regent - Team 1,Uruguay,Al Diyafah High School,Male,FS 2,Hybrid,8,Science,Proficiency,Python,4
student 2137,Young Innovator,Switzerland,Al Diyafah High School,Male,6,Hybrid,48,Sports,Proficiency,Python,2
student 2138,Speech and Drama,United Kingdom,Diyafah International School Abu Dhabi,Female,4,In-person,48,Art,Intermediate,Technology Innovative Learning,2
student 2139,Young Designer Program,Egypt,Diyafah International School Abu Dhabi,Male,4,Online,24,Art,Applied Tech,Technology Innovative Learning,3
student 2140,Coding For Kids,Singapore,Al Diyafah High School,Female,6,Hybrid,24,Mathematics,Proficiency,Python,3
student 2141,Artificial Intelligence of Things (AIoT),Venezuela,Diyafah International School Abu Dhabi,Female,4,Online,48,Science,Proficiency,Technology Innovative Learning,3
student 2142,Bootcamp - 3D Designing & Modelling,China,Diyafah International School Abu Dhabi,Female,4,Online,48,Mathematics,Proficiency,Graphics Designing,4
student 2143,Game Dev with SCRATCH,Ireland,Al Diyafah High School,Female,6,In-person,24,Art,Intermediate,Robotics Innovative Learning,4
student 2144,STEM Sr,Ukraine,Al Diyafah High School,Female,6,Online,24,Music,Applied Tech,3D Designing,5
student 2145,FIRST LEGO LEAGUE (FLL - 2022/23),Armenia,Diyafah International School Abu Dhabi,Female,4,In-person,24,Sports,Beginner,Coding for kids,4
student 2146,Internet of Things,Syria,Al Diyafah High School,Female,6,In-person,48,Art,Beginner,Technology Innovative Learning,4
student 2147,Technology Innovative Learning,Cook Islands,Diyafah International School Abu Dhabi,Female,4,Hybrid,48,Art,Intermediate,Python,4
student 2148,Graphic Designing,Bosnia and Herzegovina,Al Diyafah High School,Male,6,Hybrid,24,Art,Applied Tech,Technology Innovative Learning,3
student 2149,Technology Onsite - Regent - Team 1,India,Diyafah International School Abu Dhabi,Female,4,Hybrid,24,Music,Intermediate,Game Development,4
student 2150,Python Coding,Bahrain,Al Diyafah High School,Female,6,Online,48,Art,Beginner,Python,5
student 2151,World Robot Olympiad Webinar,Bahrain,Diyafah International School Abu Dhabi,Female,4,In-person,48,Sports,Proficiency,3D Designing,3
student 2152,Python Programming,Afghanistan,Al Diyafah High School,Male,6,In-person,48,Music,Proficiency,Graphics Designing,4
student 2153,Artificial Intelligence and Machine Learning,Jordan,Diyafah International School Abu Dhabi,Female,4,Online,24,Science,Intermediate,Python,2
student 2154,Game Dev with SCRATCH,United Kingdom,Diyafah International School Abu Dhabi,Female,4,Online,24,Music,Intermediate,Technology Innovative Learning,5
student 2155,Electronics for Kids,Cameroon,Diyafah International School Abu Dhabi,Male,4,In-person,8,Mathematics,Applied Tech,Python,4
student 2156,Winter Camp 2021,Nigeria,Diyafah International School Abu Dhabi,Female,4,Hybrid,8,Technology,Applied Tech,Python,3
student 2157,Young App Developer,Jordan,Al Diyafah High School,Female,6,In-person,8,Music,Beginner,Robotics Innovative Learning,3
student 2158,Winter Camp 2021,Armenia,Al Diyafah High School,Male,6,Hybrid,24,Science,Intermediate,Robotics Innovative Learning,3
student 2159,Public Speaking & Entrepreneurship,United Arab Emirates,Diyafah International School Abu Dhabi,Male,4,In-person,24,Science,Applied Tech,App Development,5
student 2160,Train the Trainer,Canada,Diyafah International School Abu Dhabi,Female,4,In-person,48,Art,Intermediate,3D Designing,5
student 2161,Technology Onsite - Sunmarke - Team 1,Cameroon,Diyafah International School Abu Dhabi,Female,7,Online,48,Science,Proficiency,App Development,2
student 2162,Game Development with Unity,Venezuela,Al Diyafah High School,Male,6,Hybrid,96,Art,Intermediate,Graphics Designing,2
student 2163,Artificial Intelligence Winter Internship Program,Qatar,Al Diyafah High School,Male,6,Hybrid,48,Art,Beginner,AI,5
student 2164,Arduino,Bosnia and Herzegovina,Al Diyafah High School,Female,6,Online,48,Art,Proficiency,App Development,2
student 2165,Young Honcho,Pakistan,Al Diyafah High School,Female,6,Online,8,Music,Intermediate,Python,5
student 2166,Game Dev with SCRATCH,Iraq,Al Diyafah High School,Female,6,Online,48,Sports,Proficiency,Technology Innovative Learning,2
student 2167,School,Turkey,Al Diyafah High School,Male,6,Online,24,Sports,Intermediate,Graphics Designing,2
student 2168,Public Speaking,Switzerland,Diyafah International School Abu Dhabi,Female,4,Hybrid,48,Technology,Beginner,Technology Innovative Learning,3
student 2169,Young Product Designer,India,Al Diyafah High School,Female,6,Online,24,Technology,Proficiency,App Development,4
student 2170,Art & Craft for Juniors,Pakistan,Al Diyafah High School,Male,6,In-person,96,Technology,Proficiency,3D Designing,4
student 2171,Spring Camps,Bahrain,Diyafah International School Abu Dhabi,Female,4,Hybrid,48,Sports,Applied Tech,Game Development,2
student 2172,Art & Craft for Juniors,Palestine,Diyafah International School Abu Dhabi,Male,4,Hybrid,48,Technology,Applied Tech,Game Development,3
student 2173,VEX IQ Competition (VIQC - 2022 / 23),Cook Islands,Diyafah International School Abu Dhabi,Female,4,Hybrid,8,Art,Intermediate,3D Designing,5
student 2174,Graphic Designing & Animation,Singapore,Diyafah International School Abu Dhabi,Male,4,In-person,48,Mathematics,Beginner,App Development,4
student 2175,Drone Technology,Bahrain,Al Diyafah High School,Female,6,Online,96,Mathematics,Applied Tech,Graphics Designing,2
student 2176,World Robot Olympiad (WRO),Pakistan,Al Diyafah High School,Male,6,Hybrid,24,Science,Proficiency,Robotics Innovative Learning,5
student 2177,Spring Camp,KSA,Al Diyafah High School,Male,6,Hybrid,48,Mathematics,Applied Tech,AI,4
student 2178,Microsoft Arcade,Malaysia,Diyafah International School Abu Dhabi,Male,7,Hybrid,24,Technology,Proficiency,3D Designing,2
student 2179,World Robot Olympiad Webinar,Iran (Islamic Republic of),Diyafah International School Abu Dhabi,Male,4,In-person,8,Technology,Intermediate,App Development,4
student 2180,App Development,KSA,Diyafah International School Abu Dhabi,Female,7,In-person,8,Science,Beginner,Technology Innovative Learning,4
student 2181,Young Entrepreneur,United States,Diyafah International School Abu Dhabi,Female,7,Online,48,Science,Applied Tech,3D Designing,4
student 2182,"CIS, Dubai - Stem Junior Year (3 -6)",Pakistan,Diyafah International School Abu Dhabi,Female,7,Hybrid,48,Mathematics,Applied Tech,3D Designing,4
student 2183,FIRST Lego League - Senior,India,Diyafah International School Abu Dhabi,Male,4,Hybrid,48,Music,Beginner,Python,3
student 2184,Winter Camp 2022,Venezuela,Diyafah International School Abu Dhabi,Female,4,In-person,48,Art,Beginner,3D Designing,3
student 2185,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Bahrain,Diyafah International School Abu Dhabi,Female,7,Hybrid,96,Sports,Applied Tech,App Development,4
student 2186,JAVA,Jordan,Diyafah International School Abu Dhabi,Female,7,Hybrid,8,Music,Proficiency,3D Designing,4
student 2187,Coding For Kids,Egypt,Diyafah International School Abu Dhabi,Female,7,In-person,96,Sports,Intermediate,Technology Innovative Learning,4
student 2188,Young Innovator,Korea,Diyafah International School Abu Dhabi,Female,7,Online,48,Technology,Applied Tech,Graphics Designing,3
student 2189,Young Data Scientist,Pakistan,Diyafah International School Abu Dhabi,Male,7,Online,96,Sports,Intermediate,AI,5
student 2190,French Language Course,Saudi Arabia,Diyafah International School Abu Dhabi,Female,7,Online,8,Science,Intermediate,App Development,3
student 2191,Bootcamp - Artificial Intelligence,India,Diyafah International School Abu Dhabi,Female,7,In-person,48,Sports,Beginner,Technology Innovative Learning,2
student 2192,"CIS, Dubai - Tech Innovator Year (7 -10)",United Arab Emirates,Diyafah International School Abu Dhabi,Female,7,Hybrid,8,Music,Intermediate,Robotics Innovative Learning,2
student 2193,Artificial Intelligence Winter Internship Program,Jordan,Diyafah International School Abu Dhabi,Female,7,Online,8,Art,Proficiency,Robotics Innovative Learning,4
student 2194,Artificial Intelligence & Machine Learning,Cuba,Diyafah International School Abu Dhabi,Female,6,Online,8,Technology,Beginner,App Development,2
student 2195,Game Development - Block-Based,Ukraine,Diyafah International School Abu Dhabi,Female,7,Online,8,Science,Proficiency,Technology Innovative Learning,5
student 2196,Young Innovator,Korea,Diyafah International School Abu Dhabi,Female,7,In-person,24,Sports,Beginner,Technology Innovative Learning,2
student 2197,Public Speaking & Entrepreneurship,Canada,Diyafah International School Abu Dhabi,Female,7,Hybrid,24,Music,Beginner,Graphics Designing,2
student 2198,Tech Summer Camp for Juniors,Qatar,Diyafah International School Abu Dhabi,Male,7,Online,96,Technology,Applied Tech,App Development,2
student 2199,Young Web Developer,Korea,Diyafah International School Abu Dhabi,Female,7,Online,24,Art,Proficiency,App Development,4
student 2200,Game Dev with SCRATCH,Taiwan,Diyafah International School Abu Dhabi,Male,7,In-person,24,Technology,Proficiency,Python,5
student 2201,Gulf News - Data Analysis with Python,New Zealand,Diyafah International School Abu Dhabi,Male,7,Online,96,Music,Proficiency,Coding for kids,2
student 2202,Robotics Innovative Learning,India,Diyafah International School Abu Dhabi,Male,7,In-person,24,Art,Proficiency,Coding for kids,2
student 2203,Data Science,Singapore,Diyafah International School Abu Dhabi,Male,7,Hybrid,48,Technology,Intermediate,Coding for kids,2
student 2204,Gulf News - Robotics Innovative Learning,India,Diyafah International School Abu Dhabi,Male,7,Hybrid,48,Sports,Proficiency,Python,4
student 2205,3D Designing,Russia,Diyafah International School Abu Dhabi,Female,7,In-person,8,Sports,Applied Tech,Robotics Innovative Learning,3
student 2206,3D Designing and Printing,Cook Islands,Diyafah International School Abu Dhabi,Male,7,In-person,24,Art,Intermediate,Technology Innovative Learning,5
student 2207,Winter Camp 2021,Afghanistan,Al Diyafah High School,Female,9,In-person,96,Art,Beginner,3D Designing,5
student 2208,"CIS, Dubai - Stem Junior Year (3 -6)",Bahrain,Al Diyafah High School,Female,12,In-person,48,Mathematics,Proficiency,Graphics Designing,4
student 2209,Gulf News - Data Analysis with Python,Jordan,Al Diyafah High School,Male,9,Hybrid,48,Music,Proficiency,Python,4
student 2210,3D Designing and Printing,India,Al Diyafah High School,Female,9,In-person,48,Science,Beginner,3D Designing,5
student 2211,Robotics Innovative Learning,United States,Al Diyafah High School,Male,9,In-person,24,Art,Proficiency,Game Development,3
student 2212,Scratch Coding,Iraq,Al Diyafah High School,Male,9,Online,8,Art,Proficiency,Graphics Designing,3
student 2213,Summer Camps,Ukraine,Al Diyafah High School,Male,9,In-person,24,Art,Beginner,Graphics Designing,4
student 2214,Artificial Intelligence,Singapore,Al Diyafah High School,Male,9,Hybrid,48,Mathematics,Applied Tech,Graphics Designing,4
student 2215,Game Dev with SCRATCH,Cuba,Al Diyafah High School,Female,9,Hybrid,48,Art,Intermediate,3D Designing,4
student 2216,Robotics Innovative Learning,IndiaSpain,Al Diyafah High School,Female,9,In-person,96,Mathematics,Applied Tech,3D Designing,3
student 2217,JAVA Programming,Bahrain,Al Diyafah High School,Female,9,Online,96,Technology,Intermediate,App Development,2
student 2218,Internet of Things,Malaysia,Al Diyafah High School,Female,9,In-person,24,Art,Beginner,3D Designing,4
student 2219,Game Development with Unity,China,Al Diyafah High School,Female,9,Online,8,Technology,Applied Tech,Game Development,2
student 2220,World Robot Olympiad Webinar,Saudi Arabia,Al Diyafah High School,Male,9,Online,8,Art,Beginner,3D Designing,4
student 2221,JAVA Programming,Venezuela,Al Diyafah High School,Female,9,Online,24,Music,Beginner,App Development,2
student 2222,Robotics Innovative Learning,Ukraine,Al Diyafah High School,Male,9,Hybrid,8,Music,Applied Tech,App Development,4
student 2223,Gulf News - Artificial Intelligence,India,Al Diyafah High School,Male,9,Online,48,Technology,Intermediate,Graphics Designing,4
student 2224,Technology Onsite - Sunmarke - Team 1,Canada,Al Diyafah High School,Male,9,Hybrid,48,Technology,Proficiency,AI,5
student 2225,Arduino,Syria,Al Diyafah High School,Female,9,Online,24,Music,Beginner,App Development,4
student 2226,Scratch Coding,Cook Islands,Al Diyafah High School,Female,9,In-person,24,Music,Intermediate,Coding for kids,5
student 2227,Winter Camp 2022,Saudi Arabia,Al Diyafah High School,Female,4,In-person,48,Mathematics,Beginner,Graphics Designing,5
student 2228,Data Science,Kuwait,Al Diyafah High School,Female,4,In-person,96,Art,Intermediate,Graphics Designing,2
student 2229,Canon Junior Photography,United Kingdom,Al Diyafah High School,Male,4,Online,48,Sports,Applied Tech,Technology Innovative Learning,2
student 2230,Public Speaking & Entrepreneurship,KSA,Al Diyafah High School,Female,4,Hybrid,48,Mathematics,Beginner,App Development,3
student 2231,Summer Camp 2022,Egypt,Al Diyafah High School,Male,4,Online,48,Music,Beginner,AI,3
student 2232,Game Dev with SCRATCH,Canada,Al Diyafah High School,Female,4,Online,48,Art,Beginner,Coding for kids,5
student 2233,Gulf News - Data Analysis with Python,Ireland,Al Diyafah High School,Male,4,In-person,48,Sports,Beginner,Graphics Designing,3
student 2234,Artificial Intelligence Program,USA,Al Diyafah High School,Male,4,Online,8,Sports,Applied Tech,Robotics Innovative Learning,4
student 2235,Summer Camp 2022,Turkey,Al Diyafah High School,Male,4,In-person,24,Science,Applied Tech,AI,2
student 2236,Artificial Intelligence Summer Program & Internship,Oman,Al Diyafah High School,Female,4,In-person,48,Science,Proficiency,Game Development,2
student 2237,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Syria,Al Diyafah High School,Male,4,Online,24,Sports,Beginner,Game Development,5
student 2238,Mid Term Program,Taiwan,Al Diyafah High School,Male,4,In-person,48,Mathematics,Applied Tech,3D Designing,4
student 2239,Python Programming,Jordan,Al Diyafah High School,Female,4,Hybrid,96,Art,Beginner,Technology Innovative Learning,3
student 2240,"CIS, Dubai - Stem Junior Year (3 -6)",Iran (Islamic Republic of),Al Diyafah High School,Male,4,In-person,8,Mathematics,Intermediate,AI,5
student 2241,Spring Camps,Palestine,Al Diyafah High School,Female,4,Online,8,Mathematics,Beginner,Robotics Innovative Learning,2
student 2242,Scratch Coding,USA,Al Diyafah High School,Male,4,In-person,96,Music,Beginner,Game Development,3
student 2243,Young Entrepreneur,Pakistan,Al Diyafah High School,Female,4,Online,8,Art,Applied Tech,Technology Innovative Learning,2
student 2244,Technology Onsite - Regent - Team 1,Russia,Al Diyafah High School,Male,4,Online,96,Mathematics,Beginner,Robotics Innovative Learning,5
student 2245,Spring Camp,Pakistan,Al Diyafah High School,Male,4,Online,48,Mathematics,Proficiency,Graphics Designing,4
student 2246,Game Combat Championship (GCC),United States,Al Diyafah High School,Female,4,Hybrid,48,Music,Beginner,Game Development,2
student 2247,Artificial Intelligence & Machine Learning,Turkey,Al Diyafah High School,Male,4,In-person,96,Music,Intermediate,Python,4
student 2248,Spring Camp,Nigeria,Al Diyafah High School,Male,4,In-person,8,Mathematics,Beginner,AI,2
student 2249,Young Entrepreneur,Oman,Al Diyafah High School,Male,4,In-person,48,Science,Intermediate,Game Development,5
student 2250,Bootcamp - 3D Designing & Modelling,Malaysia,Al Diyafah High School,Female,4,Online,48,Science,Applied Tech,Graphics Designing,2
student 2251,Programming & Coding - Python/JAVA/HTML/C/C++,Malaysia,Al Diyafah High School,Female,4,Online,48,Science,Proficiency,AI,5
student 2252,Graphics Designing,IndiaSpain,Al Diyafah High School,Female,4,In-person,48,Science,Proficiency,Technology Innovative Learning,4
student 2253,Artificial Intelligence Summer Program & Internship,Venezuela,Al Diyafah High School,Male,4,Online,96,Mathematics,Proficiency,App Development,3
student 2254,3D Designing,United Arab Emirates,Al Diyafah High School,Female,4,In-person,24,Mathematics,Proficiency,Python,3
student 2255,Game Development with Unity,Jordan,Al Diyafah High School,Male,4,Online,24,Science,Applied Tech,Technology Innovative Learning,5
student 2256,3D Designing,Malaysia,Al Diyafah High School,Male,4,Hybrid,8,Art,Applied Tech,3D Designing,3
student 2257,Mid Term Program,Egypt,Al Diyafah High School,Male,4,In-person,48,Mathematics,Applied Tech,Coding for kids,3
student 2258,Web Development,Srilanka,Al Diyafah High School,Female,4,Hybrid,48,Music,Beginner,Technology Innovative Learning,5
student 2259,Virtual Robotics & Mechatronics,Poland,Al Diyafah High School,Female,4,In-person,48,Sports,Applied Tech,Python,4
student 2260,Spring Camps,Canada,Al Diyafah High School,Male,4,Online,48,Art,Beginner,App Development,5
student 2261,Young Data Scientist,Turkey,Al Diyafah High School,Female,4,In-person,48,Science,Proficiency,Robotics Innovative Learning,2
student 2262,Artificial Intelligence,Uruguay,Cambridge International School,Male,5,Online,8,Music,Proficiency,3D Designing,2
student 2263,VEX IQ Competition (VIQC - 2022 / 23),USA,Al Diyafah High School,Female,4,Online,48,Mathematics,Proficiency,Game Development,2
student 2264,VEX Robotics Competition (VRC - 2023/24),IndiaSpain,Cambridge International School,Female,6,Online,48,Art,Intermediate,AI,4
student 2265,FIRST Lego League - Senior,Taiwan,Cambridge International School,Female,6,Hybrid,8,Mathematics,Proficiency,Technology Innovative Learning,5
student 2266,Gulf News - Metaverse,Egypt,Al Diyafah High School,Male,4,In-person,24,Music,Proficiency,Graphics Designing,3
student 2267,Gulf News - Artificial Intelligence,Ukraine,Al Diyafah High School,Female,4,In-person,24,Technology,Beginner,Coding for kids,4
student 2268,FIRST LEGO LEAGUE (FLL - 2022/23),Switzerland,Cambridge International School,Male,5,Online,48,Music,Beginner,Coding for kids,2
student 2269,Technology Onsite - Regent - Team 1,Uganda,Cambridge International School,Female,5,In-person,24,Art,Proficiency,Coding for kids,3
student 2270,Data Science,Malaysia,Cambridge International School,Female,5,In-person,24,Mathematics,Intermediate,AI,5
student 2271,Bootcamp - 3D Designing & Modelling,Uganda,Cambridge International School,Male,5,Hybrid,8,Technology,Intermediate,Game Development,4
student 2272,Public Speaking & Entrepreneurship,Russia,Cambridge International School,Male,5,Online,24,Music,Intermediate,Python,3
student 2273,Bootcamp - Artificial Intelligence,Russia,Cambridge International School,Female,5,In-person,24,Mathematics,Applied Tech,Graphics Designing,4
student 2274,3D Designing and Printing,Singapore,Cambridge International School,Female,5,Online,48,Art,Proficiency,Game Development,4
student 2275,Gulf News - Metaverse,Qatar,Cambridge International School,Male,5,Hybrid,96,Mathematics,Beginner,Technology Innovative Learning,2
student 2276,Technology Innovative Learning,Cook Islands,Cambridge International School,Male,5,In-person,24,Sports,Beginner,3D Designing,5
student 2277,Young Game Developer,Bahrain,Cambridge International School,Female,5,Hybrid,96,Science,Beginner,3D Designing,4
student 2278,Artificial Intelligence & Machine Learning,Venezuela,Cambridge International School,Male,5,In-person,24,Music,Intermediate,Technology Innovative Learning,4
student 2279,Winter Camp 2022,KSA,Cambridge International School,Female,5,Online,48,Mathematics,Beginner,Graphics Designing,3
student 2280,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",India,Cambridge International School,Male,5,Online,96,Music,Applied Tech,Game Development,5
student 2281,Winter Camp 2022,United States,Cambridge International School,Female,5,Hybrid,24,Sports,Applied Tech,Technology Innovative Learning,3
student 2282,"CIS, Dubai - Tech Innovator Year (7 -10)",Uruguay,Cambridge International School,Male,5,Online,24,Mathematics,Beginner,Game Development,3
student 2283,App Design and Development,Korea,Cambridge International School,Female,5,Hybrid,48,Mathematics,Intermediate,3D Designing,4
student 2284,Young Product Designer,Venezuela,Cambridge International School,Female,5,Hybrid,24,Technology,Beginner,Coding for kids,4
student 2285,Winter Camp 2022,Egypt,Cambridge International School,Female,5,Hybrid,8,Art,Intermediate,AI,5
student 2286,"CIS, Dubai - Stem Junior Year (3 -6)",Cameroon,Cambridge International School,Female,5,In-person,24,Technology,Intermediate,Python,3
student 2287,Young Honcho,Palestine,Cambridge International School,Female,5,Hybrid,24,Sports,Intermediate,Graphics Designing,5
student 2288,Train the Trainer,United Arab Emirates,Cambridge International School,Male,5,Hybrid,48,Science,Beginner,Graphics Designing,4
student 2289,VEX IQ Competition (VIQC - 2022 / 23),Ireland,Cambridge International School,Female,5,Online,24,Technology,Proficiency,App Development,5
student 2290,Coding for kids,Oman,Cambridge International School,Male,5,In-person,24,Science,Applied Tech,Robotics Innovative Learning,2
student 2291,Game Development - Microsoft Arcade,Ukraine,Cambridge International School,Female,5,Hybrid,96,Music,Intermediate,Technology Innovative Learning,4
student 2292,"CIS, Dubai - Tech Innovator Year (7 -10)",USA,Cambridge International School,Female,5,In-person,8,Art,Intermediate,3D Designing,3
student 2293,Mid Term Program,India,Cambridge International School,Male,5,In-person,24,Science,Intermediate,3D Designing,3
student 2294,STEM Sr,Taiwan,Cambridge International School,Male,5,Online,24,Sports,Proficiency,Python,2
student 2295,Tech Innovator,IndiaSpain,Cambridge International School,Male,5,Online,24,Music,Intermediate,Python,5
student 2296,ALIF Robotics Workshop,Poland,Cambridge International School,Female,5,Hybrid,24,Technology,Intermediate,Graphics Designing,5
student 2297,Artificial Intelligence Summer Program & Internship,Malaysia,Cambridge International School,Male,5,Hybrid,24,Music,Intermediate,App Development,3
student 2298,Public Speaking & Entrepreneurship,Egypt,Cambridge International School,Male,5,In-person,96,Art,Proficiency,AI,4
student 2299,Technology Onsite - Sunmarke - Team 1,Malaysia,Cambridge International School,Male,5,In-person,96,Music,Proficiency,3D Designing,2
student 2300,Game Development - Block-Based,India,Cambridge International School,Male,5,Hybrid,96,Music,Intermediate,Graphics Designing,5
student 2301,Young Designer,Palestine,Cambridge International School,Male,5,In-person,96,Technology,Applied Tech,App Development,4
student 2302,Young Web Developer,Cameroon,Cambridge International School,Female,5,In-person,24,Music,Intermediate,Robotics Innovative Learning,4
student 2303,Technology Onsite - Sunmarke - Team 1,Srilanka,Cambridge International School,Female,5,Hybrid,96,Sports,Beginner,Game Development,4
student 2304,Gulf News - Metaverse,UK,Cambridge International School,Female,5,Hybrid,48,Sports,Intermediate,AI,4
student 2305,Technology Onsite - Sunmarke - Team 1,Pakistan,Cambridge International School,Male,5,Online,24,Technology,Intermediate,App Development,3
student 2306,3D Designing and Printing,Syria,Cambridge International School,Male,5,Hybrid,24,Music,Intermediate,App Development,3
student 2307,Young Game Developer,Armenia,Cambridge International School,Male,5,In-person,48,Art,Beginner,Coding for kids,5
student 2308,World Robot Olympiad (WRO),United States,Cambridge International School,Male,5,In-person,24,Science,Beginner,3D Designing,5
student 2309,Gulf News - Metaverse,Pakistan,Cambridge International School,Male,5,Online,48,Art,Intermediate,App Development,3
student 2310,Artificial Intelligence and Machine Learning,Egypt,Cambridge International School,Female,5,Hybrid,8,Mathematics,Proficiency,3D Designing,2
student 2311,Drone Technology,United Arab Emirates,Cambridge International School,Female,5,In-person,24,Mathematics,Beginner,Graphics Designing,2
student 2312,Young Honcho,Taiwan,Cambridge International School,Male,5,In-person,24,Music,Proficiency,Game Development,4
student 2313,Summer Camp 2022,Qatar,Cambridge International School,Female,5,Hybrid,48,Art,Beginner,Python,4
student 2314,Young App Developer,Pakistan,Cambridge International School,Male,5,Hybrid,48,Mathematics,Proficiency,Python,5
student 2315,Technology Onsite - Regent - Team 1,Uruguay,Cambridge International School,Female,5,Online,24,Science,Proficiency,App Development,5
student 2316,Young Honcho,United States,Cambridge International School,Male,5,Hybrid,24,Mathematics,Beginner,Game Development,4
student 2317,JAVA Programming,India,Cambridge International School,Female,5,In-person,48,Science,Proficiency,AI,3
student 2318,JAVA Programming,India,Cambridge International School,Female,5,Online,48,Music,Beginner,Coding for kids,4
student 2319,Data Science,Jordan,Cambridge International School,Male,5,In-person,48,Science,Proficiency,AI,3
student 2320,3D Designing & Modelling,UAE,Cambridge International School,Female,5,Hybrid,48,Technology,Intermediate,3D Designing,4
student 2321,Young Designer,Egypt,Cambridge International School,Female,5,In-person,24,Art,Applied Tech,Technology Innovative Learning,5
student 2322,Game Development,Kuwait,Cambridge International School,Male,5,Hybrid,48,Mathematics,Beginner,Coding for kids,2
student 2323,Robotics Innovative Learning,Russia,Cambridge International School,Female,5,Online,96,Music,Applied Tech,Technology Innovative Learning,4
student 2324,App Development,Oman,Cambridge International School,Female,5,In-person,24,Technology,Beginner,Technology Innovative Learning,5
student 2325,Robotics Innovative Learning,Afghanistan,Cambridge International School,Male,5,In-person,48,Technology,Applied Tech,Technology Innovative Learning,5
student 2326,Robotics Innovative Learning,Iraq,Cambridge International School,Male,5,Hybrid,24,Art,Applied Tech,Coding for kids,5
student 2327,Robotics Innovative Learning,Palestine,Cambridge International School,Female,5,In-person,48,Science,Beginner,Game Development,4
student 2328,Python Programming,Taiwan,Cambridge International School,Female,5,Hybrid,48,Technology,Intermediate,Technology Innovative Learning,4
student 2329,Artificial Intelligence,India,Cambridge International School,Male,5,In-person,48,Science,Proficiency,3D Designing,4
student 2330,Artificial Intelligence Summer Program & Internship,Nigeria,Cambridge International School,Male,5,Online,24,Music,Beginner,Python,2
student 2331,Young Designer,Uruguay,Cambridge International School,Female,5,Online,96,Mathematics,Intermediate,Graphics Designing,4
student 2332,Bootcamp - 3D Designing & Modelling,Jordan,Cambridge International School,Male,5,Hybrid,24,Technology,Proficiency,AI,4
student 2333,AI,Srilanka,Cambridge International School,Female,5,In-person,24,Science,Proficiency,Coding for kids,5
student 2334,LEGO Robotics,Bahrain,Cambridge International School,Male,5,In-person,24,Music,Intermediate,3D Designing,4
student 2335,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Iran (Islamic Republic of),Cambridge International School,Male,5,Online,24,Sports,Proficiency,Python,4
student 2336,Canon Junior Photography,Iraq,Cambridge International School,Male,5,Online,24,Technology,Applied Tech,Game Development,5
student 2337,Young Honcho,Turkey,Cambridge International School,Female,5,In-person,48,Music,Proficiency,Robotics Innovative Learning,5
student 2338,Drone Technology & Aerodynamics,Egypt,Cambridge International School,Male,5,Online,48,Technology,Proficiency,Graphics Designing,5
student 2339,Young Designer Program,China,Cambridge International School,Male,5,Online,48,Art,Proficiency,Game Development,2
student 2340,Young Innovator,Korea,Cambridge International School,Female,5,Online,8,Technology,Proficiency,Technology Innovative Learning,5
student 2341,Technology Innovative Learning,Canada,Cambridge International School,Male,5,Online,48,Science,Beginner,AI,3
student 2342,JAVA Programming,Poland,Cambridge International School,Female,5,In-person,96,Technology,Proficiency,Graphics Designing,2
student 2343,Electronics for Kids,Cook Islands,Cambridge International School,Male,5,Online,8,Technology,Applied Tech,App Development,3
student 2344,Artificial Intelligence,Malaysia,Al Diyafah High School,Female,10,Online,48,Science,Intermediate,Technology Innovative Learning,5
student 2345,Drone Technology,Russia,Cambridge International School,Male,5,Hybrid,24,Sports,Applied Tech,Graphics Designing,3
student 2346,Summer Camps,Saudi Arabia,Cambridge International School,Female,5,Hybrid,48,Technology,Applied Tech,Coding for kids,2
student 2347,Gulf News - Artificial Intelligence,Saudi Arabia,Cambridge International School,Male,5,In-person,8,Mathematics,Applied Tech,Graphics Designing,2
student 2348,Young Data Scientist,Srilanka,Cambridge International School,Female,5,In-person,24,Mathematics,Beginner,Technology Innovative Learning,5
student 2349,Public Speaking & Entrepreneurship,Qatar,Cambridge International School,Male,5,Hybrid,48,Sports,Beginner,App Development,3
student 2350,Technology Onsite - Sunmarke - Team 1,Venezuela,Cambridge International School,Male,5,In-person,8,Science,Proficiency,AI,3
student 2351,Game Combat Championship (GCC),Oman,Cambridge International School,Female,5,In-person,96,Technology,Proficiency,Python,4
student 2352,VEX IQ Competition (VIQC - 2022 / 23),Iraq,Cambridge International School,Male,5,In-person,8,Science,Proficiency,Coding for kids,5
student 2353,FIRST LEGO LEAGUE (FLL - 2022/23),India,Cambridge International School,Female,5,Hybrid,48,Science,Proficiency,AI,5
student 2354,ALIF Robotics Workshop,China,Cambridge International School,Male,5,Hybrid,96,Technology,Beginner,Game Development,3
student 2355,Mid Term Program,United Arab Emirates,Cambridge International School,Female,5,Online,24,Art,Beginner,Graphics Designing,4
student 2356,Microsoft Arcade,Taiwan,Cambridge International School,Female,5,Hybrid,96,Technology,Beginner,AI,5
